moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,uvIndex,visibility,weatherCode,winddirDegree,windspeedKmph,hourofday,dayofweek,month,year,dayofyear,is_holiday,y,y_pred_lstm,y_pred_prophet,y_pred_xgb
72,2,2,2,2,3,100,96,0.2,1013,2,1,5,332,51,3,23,6,12,2023,365,0,5119,4754.6045,4526.059902519348,4814.601
72,2,2,2,2,2,100,98,0.1,1013,2,1,5,332,95,1,22,6,12,2023,365,0,5296,5001.175,4890.88603143908,5019.2705
72,2,2,2,2,2,100,98,0.1,1013,2,1,5,332,162,2,21,6,12,2023,365,0,5504,5355.101,5243.664664058031,5320.6025
72,2,2,3,2,4,100,96,0.1,1013,3,1,10,326,185,3,20,6,12,2023,365,0,5685,5561.4043,5649.4776804351095,5514.448
72,1,2,3,2,5,100,87,0.0,1013,3,1,10,326,184,4,19,6,12,2023,365,0,5852,5861.529,5782.204447186927,5753.9785
72,0,2,3,2,7,100,78,0.0,1012,3,1,10,176,152,5,18,6,12,2023,365,0,6030,5936.0757,5682.528297573123,5917.0825
72,0,2,3,2,9,100,75,0.0,1012,3,1,10,122,137,6,17,6,12,2023,365,0,6128,5873.421,5527.704280786067,5894.966
72,-1,2,3,2,9,100,73,0.0,1012,3,1,10,122,127,7,16,6,12,2023,365,0,5942,5793.5874,5360.634864290641,5608.513
72,-1,2,3,2,8,100,71,0.0,1012,3,1,10,122,129,6,15,6,12,2023,365,0,5783,5698.3584,5280.542425743502,5281.8154
72,-2,2,3,2,7,100,70,0.0,1012,3,1,10,122,141,5,14,6,12,2023,365,0,5730,5604.7827,5253.191448042505,5347.444
72,-2,2,3,2,7,100,69,0.0,1012,3,1,10,122,158,5,13,6,12,2023,365,0,5707,5498.3667,5264.235421675773,5283.084
72,-2,1,3,1,7,100,69,0.0,1013,3,1,10,122,149,5,12,6,12,2023,365,0,5639,5418.946,5420.602588396777,5220.273
72,-3,1,2,1,6,62,71,0.0,1013,2,2,10,116,141,4,11,6,12,2023,365,0,5484,5384.6323,5299.29268392189,5111.9575
72,-3,1,2,1,5,15,74,0.0,1012,2,2,10,113,147,4,10,6,12,2023,365,0,5291,5190.6133,5161.733997765399,4831.3833
72,-3,1,1,1,5,9,76,0.0,1012,1,2,10,113,152,3,9,6,12,2023,365,0,5057,5112.572,4869.295678215626,4889.5796
72,-3,1,1,1,4,6,76,0.0,1012,1,2,10,113,183,3,8,6,12,2023,365,0,4815,4983.8735,4674.969639936277,4850.658
72,-3,1,1,1,4,4,75,0.0,1012,1,2,10,113,212,3,7,6,12,2023,365,0,4636,4863.7793,4426.8668196591325,4609.9775
72,-3,1,1,1,4,12,74,0.0,1012,1,2,10,113,237,3,6,6,12,2023,365,0,4492,4761.278,4166.9860535866765,4417.1772
72,-3,0,1,0,5,15,72,0.0,1012,1,1,10,113,259,3,5,6,12,2023,365,0,4398,4619.4604,3958.013593700469,4296.8164
72,-4,0,1,0,6,12,72,0.0,1012,1,1,10,113,275,4,4,6,12,2023,365,0,4373,4503.951,3752.661750663781,4150.1553
72,-4,0,1,0,6,7,71,0.0,1012,1,1,10,113,286,4,3,6,12,2023,365,0,4408,4383.4263,3667.059163038376,4143.9375
72,-4,0,1,0,7,62,71,0.0,1012,1,1,10,116,297,5,2,6,12,2023,365,0,4511,4346.8374,3725.591277182773,4354.509
72,-4,0,1,0,8,28,70,0.0,1012,1,1,10,116,299,6,1,6,12,2023,365,0,4670,4181.776,3765.304770682039,4556.8066
72,-4,0,1,0,9,5,69,0.0,1011,1,1,10,113,304,6,0,6,12,2023,365,0,4872,4033.7632,3907.086733422041,4577.9385
76,-3,0,2,0,8,5,69,0.0,1010,2,1,10,113,301,6,23,5,12,2023,364,0,5127,4839.373,4369.748942219287,4726.003
76,-3,1,2,1,9,6,68,0.0,1010,2,1,10,113,315,6,22,5,12,2023,364,0,5444,5116.775,4569.974851285224,5003.148
76,-3,1,3,1,10,6,66,0.0,1010,3,1,10,113,324,7,21,5,12,2023,364,0,5687,5478.2886,5091.678147165458,5196.1577
